epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1353,2.43005,5.06342,1.21214,0.00168,0.25,0.00695,0.00103,1.85137,4.62957,1.11162,1.667e-05,1.667e-05,1.667e-05
2,19.6501,2.04435,5.01827,1.18777,0.00163,0.25,0.00539,0.00143,1.78992,4.61564,1.0816,4.9845e-05,4.9845e-05,4.9845e-05
3,27.1631,1.91466,4.82782,1.12087,0.00162,0.25,0.0087,0.00166,1.89672,4.57658,1.05134,8.27999e-05,8.27999e-05,8.27999e-05
4,34.5035,1.9297,4.54252,1.01881,0.0014,0.25,0.00651,0.00117,1.65314,4.64038,0.99022,0.000115535,0.000115535,0.000115535
5,41.7188,1.76329,4.15201,1.01231,0.00208,0.33333,0.00201,0.00113,1.72966,4.57731,0.99858,0.00014805,0.00014805,0.00014805
6,48.9703,1.64223,4.05175,0.96768,0.00403,0.58333,0.00582,0.00253,1.56827,4.51047,0.9511,0.000180344,0.000180344,0.000180344
7,56.5731,1.70381,3.77946,0.93621,0.00396,0.58333,0.03102,0.01289,1.44429,4.45557,0.90631,0.000212419,0.000212419,0.000212419
8,64.09,1.47495,3.38032,0.9062,0.00392,0.58333,0.03089,0.01031,1.33959,4.4015,0.88384,0.000244274,0.000244274,0.000244274
9,71.295,1.38983,3.10478,0.91701,0.00392,0.58333,0.04455,0.01845,1.24751,4.34325,0.87855,0.000275909,0.000275909,0.000275909
10,78.5045,1.4532,3.32024,0.87702,0.00394,0.58333,0.08577,0.03497,1.13179,4.32332,0.8622,0.000307323,0.000307323,0.000307323
11,85.9248,1.29316,2.85816,0.90698,0.004,0.58333,0.08594,0.03523,1.08151,4.25607,0.85124,0.000338518,0.000338518,0.000338518
12,93.0982,1.27553,2.43513,0.87387,0.00405,0.58333,0.08607,0.02722,1.06035,4.23114,0.8468,0.000369492,0.000369492,0.000369492
13,100.52,1.277,2.29357,0.89595,0.00451,0.66667,0.03172,0.00856,1.01434,4.2174,0.82937,0.000400247,0.000400247,0.000400247
14,107.845,1.23298,2.10259,0.87617,0.00446,0.66667,0.03134,0.00568,0.93515,4.21853,0.82208,0.000430781,0.000430781,0.000430781
15,115.172,1.28624,2.11392,0.8556,0.00334,0.5,0.00269,0.00162,1.0052,4.18001,0.82253,0.000461096,0.000461096,0.000461096
16,122.383,1.15294,1.93579,0.87115,0.0028,0.41667,0.00206,0.00115,1.09389,4.14936,0.82769,0.00049119,0.00049119,0.00049119
17,129.98,1.0977,1.80986,0.84693,0.00223,0.33333,0.0015,0.00078,1.03435,4.06588,0.82115,0.000521064,0.000521064,0.000521064
18,137.251,1.06841,1.7339,0.87486,0.00059,0.08333,0.00035,0.00021,1.02701,3.9954,0.82382,0.000550718,0.000550718,0.000550718
19,144.805,1.2247,1.90461,0.88736,0,0,0,0,1.02005,3.94017,0.82517,0.000580153,0.000580153,0.000580153
20,152.007,1.0699,1.67191,0.86289,0,0,0,0,0.93786,3.91605,0.80894,0.000609367,0.000609367,0.000609367
21,159.507,1.0334,1.61068,0.85603,0,0,0,0,0.94944,3.90509,0.81368,0.000638361,0.000638361,0.000638361
22,167.512,1.06604,1.6345,0.825,0,0,0,0,0.96897,3.85871,0.82681,0.000667135,0.000667135,0.000667135
23,174.734,0.93899,1.62024,0.84224,0,0,0,0,1.04584,3.84739,0.84411,0.000695689,0.000695689,0.000695689
24,182.106,1.09263,1.76807,0.87765,0,0,0,0,0.98678,3.79829,0.8347,0.000724023,0.000724023,0.000724023
25,189.322,1.04573,1.38577,0.85442,0,0,0,0,1.07343,3.83768,0.8509,0.000752137,0.000752137,0.000752137
26,196.724,1.07219,1.4548,0.8685,0,0,0,0,1.0934,3.82814,0.84389,0.000780031,0.000780031,0.000780031
27,203.978,1.08983,1.42921,0.88793,0,0,0,0,0.92827,3.72835,0.81141,0.000807705,0.000807705,0.000807705
28,211.185,0.98631,1.35216,0.86477,0,0,0,0,0.92827,3.72835,0.81141,0.000835159,0.000835159,0.000835159
29,218.777,0.97934,1.55426,0.86378,0.0005,0.08333,0.00148,0.00103,1.01791,3.66489,0.82429,0.000862392,0.000862392,0.000862392
30,226.31,0.88218,1.29024,0.85831,0.00101,0.16667,0.08301,0.05817,0.9755,3.58884,0.81528,0.000889406,0.000889406,0.000889406
31,233.474,0.90824,1.43072,0.83017,0.00101,0.16667,0.08301,0.05817,0.9755,3.58884,0.81528,0.0009162,0.0009162,0.0009162
32,240.675,0.89878,1.67016,0.82775,0.00099,0.16667,0.16783,0.15105,0.81037,3.56383,0.79357,0.000942774,0.000942774,0.000942774
33,248.082,1.05203,1.44951,0.83921,0.00285,0.41667,0.41581,0.30813,0.99084,3.48756,0.8187,0.000969127,0.000969127,0.000969127
34,255.492,0.96952,1.58646,0.82924,0.00285,0.41667,0.41581,0.30813,0.99084,3.48756,0.8187,0.000995261,0.000995261,0.000995261
35,263.076,1.01446,1.38654,0.85685,0.00341,0.5,0.42283,0.29613,1.06963,3.40551,0.83219,0.00102117,0.00102117,0.00102117
36,270.411,1.04728,1.54582,0.84464,0.00558,0.83333,0.50472,0.42212,0.85161,3.27277,0.80347,0.00104687,0.00104687,0.00104687
37,277.825,0.92677,1.29288,0.85833,0.00558,0.83333,0.50472,0.42212,0.85161,3.27277,0.80347,0.00107234,0.00107234,0.00107234
38,285.142,0.95101,1.33076,0.81885,0.00667,1,0.7697,0.59505,0.82043,3.17088,0.79926,0.00109759,0.00109759,0.00109759
39,292.622,0.9394,1.20784,0.82863,0.00667,1,0.89303,0.66149,0.78484,3.05868,0.79928,0.00112263,0.00112263,0.00112263
40,299.931,0.92979,1.28714,0.82068,0.00667,1,0.89303,0.66149,0.78484,3.05868,0.79928,0.00114744,0.00114744,0.00114744
41,307.234,0.94765,1.18878,0.81631,0.00701,1,0.995,0.69253,0.81986,2.92869,0.79848,0.00117203,0.00117203,0.00117203
42,314.623,1.09583,1.34178,0.84318,0.00667,1,0.91568,0.63799,0.86294,2.96281,0.79973,0.00119641,0.00119641,0.00119641
43,321.932,0.88611,1.23155,0.84221,0.00667,1,0.91568,0.63799,0.86294,2.96281,0.79973,0.00122056,0.00122056,0.00122056
44,329.779,0.84086,1.14781,0.83842,0.00667,1,0.91558,0.5636,0.9776,2.97731,0.80817,0.00124449,0.00124449,0.00124449
45,337.242,0.97587,1.19363,0.8421,0.00667,1,0.91558,0.5636,0.9776,2.97731,0.80817,0.00126821,0.00126821,0.00126821
46,344.701,0.96256,1.19047,0.85535,0.96618,0.62932,0.91657,0.66187,0.84243,2.74377,0.79498,0.0012917,0.0012917,0.0012917
47,352.184,0.88649,1.10501,0.83809,0.96618,0.62932,0.91657,0.66187,0.84243,2.74377,0.79498,0.00131497,0.00131497,0.00131497
48,359.511,0.83653,1.19253,0.85118,1,0.46426,0.995,0.7564,0.83333,2.47407,0.79296,0.00133803,0.00133803,0.00133803
49,367.156,0.81368,1.06564,0.83328,1,0.46426,0.995,0.7564,0.83333,2.47407,0.79296,0.00136086,0.00136086,0.00136086
50,374.484,0.80805,1.23804,0.82909,1,0.56264,0.995,0.75508,0.85209,2.39137,0.80457,0.00138347,0.00138347,0.00138347
51,381.992,0.87878,1.04625,0.82785,1,0.56264,0.995,0.75508,0.85209,2.39137,0.80457,0.00139195,0.00139195,0.00139195
52,389.308,0.84553,1.10518,0.83517,1,0.61371,0.995,0.75677,0.81784,2.18301,0.79546,0.00138644,0.00138644,0.00138644
53,396.759,0.77677,1.06131,0.80109,1,0.61371,0.995,0.75677,0.81784,2.18301,0.79546,0.00138094,0.00138094,0.00138094
54,404.386,0.78029,1.03758,0.85386,0.9919,0.75135,0.995,0.74444,0.81088,2.02045,0.79425,0.00137544,0.00137544,0.00137544
55,411.544,0.81596,1.085,0.83805,0.9919,0.75135,0.995,0.74444,0.81088,2.02045,0.79425,0.00136994,0.00136994,0.00136994
56,418.934,0.84949,1.08129,0.8274,0.99815,0.87291,0.995,0.75721,0.82582,1.92393,0.79636,0.00136444,0.00136444,0.00136444
57,426.141,0.86898,1.04061,0.83558,0.99815,0.87291,0.995,0.75721,0.82582,1.92393,0.79636,0.00135894,0.00135894,0.00135894
58,433.544,0.83389,1.03493,0.8496,1,0.95264,0.995,0.7556,0.74229,1.82884,0.78122,0.00135344,0.00135344,0.00135344
59,440.761,0.74767,0.98553,0.80684,1,0.95264,0.995,0.7556,0.74229,1.82884,0.78122,0.00134794,0.00134794,0.00134794
60,448.146,0.81935,1.03476,0.83384,0.99389,0.95361,0.995,0.7635,0.72151,1.73472,0.77583,0.00134244,0.00134244,0.00134244
61,455.539,0.84069,0.98575,0.83295,0.99389,0.95361,0.995,0.7635,0.72151,1.73472,0.77583,0.00133693,0.00133693,0.00133693
62,462.846,0.88998,1.04208,0.80055,0.98067,0.96119,0.995,0.7487,0.70491,1.6491,0.77804,0.00133143,0.00133143,0.00133143
63,470.186,0.83825,1.00485,0.83971,0.98067,0.96119,0.995,0.7487,0.70491,1.6491,0.77804,0.00132593,0.00132593,0.00132593
64,477.701,0.85039,0.95399,0.84396,0.97067,0.9844,0.995,0.75302,0.7393,1.5006,0.78863,0.00132043,0.00132043,0.00132043
65,485.011,0.85283,0.89784,0.81469,0.97067,0.9844,0.995,0.75302,0.7393,1.5006,0.78863,0.00131493,0.00131493,0.00131493
66,492.295,0.85801,0.98043,0.84549,0.98367,0.99538,0.995,0.76981,0.78722,1.44507,0.79284,0.00130943,0.00130943,0.00130943
67,499.736,0.76933,0.90414,0.84521,0.98367,0.99538,0.995,0.76981,0.78722,1.44507,0.79284,0.00130393,0.00130393,0.00130393
68,507.183,0.78939,0.97766,0.82334,0.98427,0.98396,0.995,0.771,0.82171,1.48402,0.79535,0.00129843,0.00129843,0.00129843
69,514.643,0.78309,0.99919,0.81752,0.98427,0.98396,0.995,0.771,0.82171,1.48402,0.79535,0.00129293,0.00129293,0.00129293
70,522.225,0.8106,1.01754,0.81275,0.96969,0.97139,0.995,0.7924,0.77418,1.5098,0.7907,0.00128742,0.00128742,0.00128742
71,529.652,0.8176,0.91317,0.82289,0.96969,0.97139,0.995,0.7924,0.77418,1.5098,0.7907,0.00128192,0.00128192,0.00128192
72,536.809,0.74772,0.99662,0.82028,0.96603,0.97881,0.995,0.77577,0.78318,1.41015,0.79398,0.00127642,0.00127642,0.00127642
73,544.161,0.7384,0.93512,0.83071,0.96603,0.97881,0.995,0.77577,0.78318,1.41015,0.79398,0.00127092,0.00127092,0.00127092
74,551.29,0.72162,0.92835,0.82186,0.97154,0.98857,0.995,0.76213,0.80895,1.19791,0.79503,0.00126542,0.00126542,0.00126542
75,558.464,0.81065,0.89004,0.85262,0.97154,0.98857,0.995,0.76213,0.80895,1.19791,0.79503,0.00125992,0.00125992,0.00125992
76,565.873,0.79428,0.89911,0.79926,0.97676,0.99639,0.995,0.7776,0.75449,1.03886,0.78665,0.00125442,0.00125442,0.00125442
77,573.088,0.68948,0.86114,0.80716,0.97676,0.99639,0.995,0.7776,0.75449,1.03886,0.78665,0.00124892,0.00124892,0.00124892
78,580.745,0.75397,0.93539,0.81528,0.97601,0.99487,0.995,0.75613,0.74556,0.99319,0.78563,0.00124342,0.00124342,0.00124342
79,588.081,0.75161,0.91946,0.83852,0.97601,0.99487,0.995,0.75613,0.74556,0.99319,0.78563,0.00123791,0.00123791,0.00123791
80,595.436,0.83348,0.97955,0.82339,0.97403,0.99519,0.995,0.78572,0.75085,1.02465,0.78407,0.00123241,0.00123241,0.00123241
81,602.723,0.74376,0.91789,0.83082,0.97403,0.99519,0.995,0.78572,0.75085,1.02465,0.78407,0.00122691,0.00122691,0.00122691
82,610.254,0.78647,0.89322,0.81271,0.96809,1,0.995,0.80001,0.75979,0.98745,0.78273,0.00122141,0.00122141,0.00122141
83,617.634,0.66728,0.81345,0.80969,0.96809,1,0.995,0.80001,0.75979,0.98745,0.78273,0.00121591,0.00121591,0.00121591
84,625.022,0.71284,0.80294,0.81704,0.97056,1,0.995,0.78288,0.7955,0.93997,0.78633,0.00121041,0.00121041,0.00121041
85,632.07,0.70679,0.80505,0.81583,0.97056,1,0.995,0.78288,0.7955,0.93997,0.78633,0.00120491,0.00120491,0.00120491
86,639.605,0.84356,0.89773,0.84767,0.98757,1,0.995,0.75594,0.78423,0.90358,0.78619,0.00119941,0.00119941,0.00119941
87,646.719,0.74238,0.88528,0.79632,0.98757,1,0.995,0.75594,0.78423,0.90358,0.78619,0.00119391,0.00119391,0.00119391
88,654.08,0.71117,0.82759,0.77364,0.99122,0.99968,0.995,0.74558,0.73733,0.87833,0.78286,0.0011884,0.0011884,0.0011884
89,661.313,0.78585,0.887,0.81549,0.99122,0.99968,0.995,0.74558,0.73733,0.87833,0.78286,0.0011829,0.0011829,0.0011829
90,668.562,0.76209,0.93175,0.78516,0.98438,0.99711,0.995,0.76884,0.73263,0.88063,0.78034,0.0011774,0.0011774,0.0011774
91,675.574,0.68196,0.87836,0.81472,0.98438,0.99711,0.995,0.76884,0.73263,0.88063,0.78034,0.0011719,0.0011719,0.0011719
92,682.686,0.79064,0.87385,0.83837,0.98612,1,0.995,0.77837,0.7025,0.84425,0.78138,0.0011664,0.0011664,0.0011664
93,689.821,0.71513,0.83557,0.82714,0.98612,1,0.995,0.77837,0.7025,0.84425,0.78138,0.0011609,0.0011609,0.0011609
94,697.099,0.6815,0.85192,0.81687,0.99166,1,0.995,0.77419,0.73664,0.79454,0.78655,0.0011554,0.0011554,0.0011554
95,704.179,0.7203,0.82668,0.79073,0.99166,1,0.995,0.77419,0.73664,0.79454,0.78655,0.0011499,0.0011499,0.0011499
96,711.344,0.83614,0.90456,0.80758,0.98431,1,0.995,0.77284,0.71215,0.76328,0.78633,0.0011444,0.0011444,0.0011444
97,718.606,0.62502,0.74571,0.7916,0.98431,1,0.995,0.77284,0.71215,0.76328,0.78633,0.00113889,0.00113889,0.00113889
98,725.98,0.73252,0.79005,0.82417,0.98566,1,0.995,0.79762,0.69484,0.75018,0.77896,0.00113339,0.00113339,0.00113339
99,733.114,0.7246,0.77872,0.81443,0.98566,1,0.995,0.79762,0.69484,0.75018,0.77896,0.00112789,0.00112789,0.00112789
100,740.208,0.72811,0.78351,0.82991,0.99226,1,0.995,0.77215,0.70439,0.7711,0.77867,0.00112239,0.00112239,0.00112239
101,747.386,0.62887,0.72613,0.79093,0.99226,1,0.995,0.77215,0.70439,0.7711,0.77867,0.00111689,0.00111689,0.00111689
102,754.593,0.71119,0.77227,0.81987,0.98443,1,0.995,0.77354,0.73489,0.75638,0.78271,0.00111139,0.00111139,0.00111139
103,761.746,0.72108,0.78028,0.83885,0.98443,1,0.995,0.77354,0.73489,0.75638,0.78271,0.00110589,0.00110589,0.00110589
104,769.318,0.65225,0.69956,0.81871,0.97739,1,0.995,0.78989,0.64944,0.70691,0.77535,0.00110039,0.00110039,0.00110039
105,776.45,0.61477,0.74327,0.80001,0.97739,1,0.995,0.78989,0.64944,0.70691,0.77535,0.00109489,0.00109489,0.00109489
